t,x,y,theta,v,a_cmd,delta_cmd
1.030000000000000071e+01,1.076233062744140625e+02,6.565633392333984375e+01,2.011001482605934143e-02,7.743318557739257812e+00,1.620054684734909822e-01,-4.682374968375331292e-01
1.040000000000000036e+01,1.083902893066406250e+02,6.566212463378906250e+01,7.552050985395908356e-03,7.670017242431640625e+00,1.499999999999999778e+00,-4.999546761068541234e-01
1.050000000000000000e+01,1.091537780761718750e+02,6.565242004394531250e+01,-1.271325815469026566e-02,7.635474681854248047e+00,2.871827009475747539e-01,7.633663006582636079e-03
1.060000000000000142e+01,1.099142990112304688e+02,6.563327789306640625e+01,-2.516967430710792542e-02,7.607586383819580078e+00,-2.372321359787965989e+00,5.000000000000000000e-01
1.070000000000000107e+01,1.106671447753906250e+02,6.561073303222656250e+01,-2.993232384324073792e-02,7.531832695007324219e+00,1.041452774759475508e+00,-5.000000000000000000e-01
1.080000000000000071e+01,1.114151077270507812e+02,6.557915496826171875e+01,-4.218989983201026917e-02,7.486275672912597656e+00,2.281734065931624034e-01,2.584150559861876917e-01
1.090000000000000036e+01,1.121591415405273438e+02,6.554423522949218750e+01,-4.690009728074073792e-02,7.448550224304199219e+00,3.197573554925738915e-01,5.000000000000000000e-01
1.100000000000000000e+01,1.129003143310546875e+02,6.551147460937500000e+01,-4.416972771286964417e-02,7.418926715850830078e+00,1.024390807635731981e+00,2.143618181368785458e-01
1.110000000000000142e+01,1.136408767700195312e+02,6.548627471923828125e+01,-3.401071205735206604e-02,7.409875392913818359e+00,1.357522505978701499e+00,5.000000000000000000e-01
1.120000000000000107e+01,1.143831634521484375e+02,6.547416687011718750e+01,-1.631194725632667542e-02,7.423885822296142578e+00,1.499999999999998668e+00,-5.000000000000000000e-01
1.130000000000000071e+01,1.151290588378906250e+02,6.546962738037109375e+01,-6.085221190005540848e-03,7.459110260009765625e+00,9.077606307813330666e-01,2.366816839365943892e-01
1.140000000000000036e+01,1.158789443969726562e+02,6.547846984863281250e+01,1.179334521293640137e-02,7.499364852905273438e+00,4.059531570338691386e-01,-3.164288600105099047e-01
